"region","serviceName","lastModifiedDate"
"ap-southeast-3","accessanalyzer","2021-12-13T13:57:34.645Z"
"ap-southeast-3","acm","2021-12-13T13:56:31.936Z"
"ap-southeast-3","artifact","2021-12-13T13:57:15.287Z"
"ap-southeast-3","dynamodbstreams","2021-12-13T13:56:35.287Z"
"ap-southeast-3","eventbridge","2021-12-13T13:56:58.674Z"
"ap-southeast-3","events","2021-12-13T13:50:34.986Z"
"ap-southeast-3","lambda","2021-12-13T13:57:19.036Z"
"ap-southeast-3","logs","2021-12-13T13:56:31.282Z"
"ap-southeast-3","s3","2021-12-13T13:56:19.306Z"
"ap-southeast-3","vpc","2021-12-13T13:56:56.198Z"
"ap-southeast-3","autoscaling","2021-12-13T13:57:09.833Z"
"ap-southeast-3","cloudformation","2021-12-13T13:51:21.589Z"
"ap-southeast-3","elb","2021-12-13T13:56:49.568Z"
"ap-southeast-3","emr","2021-12-13T13:56:43.847Z"
"ap-southeast-3","es","2021-12-13T13:57:18.423Z"
"ap-southeast-3","glacier","2021-12-13T13:52:38.015Z"
"ap-southeast-3","kinesis","2021-12-13T13:57:22.783Z"
"ap-southeast-3","marketplace","2021-12-13T13:56:45.278Z"
"ap-southeast-3","organizations","2021-12-13T13:55:47.146Z"
"ap-southeast-3","sts","2021-12-13T13:57:23.171Z"
"ap-southeast-3","directconnect","2021-12-13T13:57:15.622Z"
"ap-southeast-3","dms","2021-12-13T13:56:57.567Z"
"ap-southeast-3","ecs","2021-12-13T13:56:41.521Z"
"ap-southeast-3","guardduty","2022-02-16T20:03:59.667Z"
"ap-southeast-3","kms","2021-12-13T13:54:59.491Z"
"ap-southeast-3","rds","2021-12-13T13:57:28.343Z"
"ap-southeast-3","resource-groups","2022-02-15T22:05:33.086Z"
"ap-southeast-3","sns","2021-12-13T13:57:31.136Z"
"ap-southeast-3","sqs","2021-12-13T13:57:31.683Z"
"ap-southeast-3","support","2021-12-13T13:56:29.914Z"
"ap-southeast-3","cloudwatch","2021-12-13T13:51:06.241Z"
"ap-southeast-3","codedeploy","2021-12-13T13:57:13.638Z"
"ap-southeast-3","config","2021-12-13T13:57:08.696Z"
"ap-southeast-3","ebs","2021-12-13T13:56:45.565Z"
"ap-southeast-3","meteringmarketplace","2021-12-13T13:57:36.241Z"
"ap-southeast-3","phd","2021-12-13T13:57:01.735Z"
"ap-southeast-3","resourcegroupstaggingapi","2021-12-13T13:57:25.601Z"
"ap-southeast-3","ssm","2021-12-13T13:56:40.870Z"
"ap-southeast-3","stepfunctions","2021-12-13T13:56:56.384Z"
"ap-southeast-3","swf","2021-12-13T13:57:03.363Z"
"ap-southeast-3","apigateway","2021-12-13T13:56:30.675Z"
"ap-southeast-3","aurora","2021-12-13T13:55:47.789Z"
"ap-southeast-3","dynamodb","2021-12-13T13:56:34.696Z"
"ap-southeast-3","ec2","2021-12-13T13:54:30.224Z"
"ap-southeast-3","ecr","2021-12-13T13:56:36.956Z"
"ap-southeast-3","iam","2021-12-13T13:53:14.752Z"
"ap-southeast-3","privatelink","2021-12-13T13:57:04.528Z"
"ap-southeast-3","redshift","2021-12-13T13:56:59.214Z"
"ap-southeast-3","route53","2021-12-13T13:56:09.226Z"
"ap-southeast-3","trustedadvisor","2021-12-13T13:57:08.506Z"
"ap-southeast-3","appconfig","2021-12-13T13:56:49.946Z"
"ap-southeast-3","cloudtrail","2021-12-13T13:51:59.688Z"
"ap-southeast-3","elasticache","2021-12-13T13:56:48.052Z"
"ap-southeast-3","vpn","2021-12-13T13:57:07.367Z"
