1,1200,1600,1400000,6,4,398,-36.900,174.817
1,1200,1600,1225000,3,1,346,-36.897,174.814
2,1200,1600,1499000,3,1,956,-36.896,174.842
2,1200,1600,1250000,3,1,688,-36.902,174.836
2,1200,1600,1200000,4,2,809,-36.908,174.828
2,800,1200,1089000,4,2,1133,-36.908,174.826
2,800,1200,1078000,5,2,193,-36.928,174.847
3,1200,1600,1435000,4,3,116,-36.887,174.844
3,1200,1600,1300000,3,3,101,-36.887,174.844
