"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /lambda/net30-newton",27609,670,800,870,930,1200,2100,2700,3800,4800
"Total",27609,670,800,870,930,1200,2100,2700,3800,4800
