"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","//lambda/net30-native",33831,0,500,531,199,2386,8119,565.56
"None","Total",33831,0,500,531,199,2386,8119,565.56
