"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","//lambda/net30-newton",31092,0,610,657,218,3527,8119,516.79
"None","Total",31092,0,610,657,218,3527,8119,516.79
