"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/lambda/native",28755,19960,790,681,2,6270,2483,480.10
"None","Total",28755,19960,790,681,2,6270,2483,480.10
