"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /lambda/native",28755,790,940,1000,1100,1200,1300,1500,2300,6300
"Total",28755,790,940,1000,1100,1200,1300,1500,2300,6300
