"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /lambda/newton",29089,780,940,1000,1000,1100,1200,1300,1600,6700
"Total",29089,780,940,1000,1000,1100,1200,1300,1600,6700
