"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/1.jpg",479,302,41,250,34,10049,92939,8.15
"None","Total",479,302,41,250,34,10049,92939,8.15
